Community,Functional Class,Change_in_Speed,Change_in_Volume,Change_in_Accidents
abington,Arterial,3.711237582,-72554,-60
acushnet,Arterial,-2.326000106,7477,-11
acushnet,Collector,0.8824871788,9515,2
adams,Arterial,3.916121588,-292144,-4
agawam,Arterial,1.915906665,-49674,-8
agawam,Freeway & Expressway,8.274216598,4867679,-12
amesbury,Freeway & Expressway,-13.62679599,13530,-3
amherst,Arterial,2.463944107,5369,5
amherst,Collector,0.9817050449,1868,NA
andover,Arterial,-10.43785435,-2239795,-85
andover,Interstate,28.14577748,85770620,-5
athol,Arterial,-9.216214673,-1007,-9
attleboro,Arterial,1.160194845,-3690,-50
attleboro,Collector,4.511025968,-68774,-9
attleboro,Interstate,12.67055413,24992962,-2
auburn,Arterial,3.995219488,1742617,-26
auburn,Interstate,1.606261813,1003260,-17
avon,Arterial,-1.489045471,118330,18
avon,Collector,1.031024664,-1093,NA
avon,Freeway & Expressway,3.669208969,12211493,NA
barnstable,Arterial,-5.528533836,-54058,-81
barnstable,Collector,-2.403502219,-161055,0
barnstable,Local Road,9.402423336,-2872,-1
barre,Arterial,4.740429901,-30359,1
barre,Collector,-10.66746124,2694,-4
becket,Arterial,2.222226467,-4704,NA
belchertown,Arterial,-3.505438811,26285,-1
berlin,Arterial,1.452102861,44803,-13
bernardston,Arterial,18.99304079,1760144,NA
bernardston,Collector,2.985551726,-4567,NA
beverly,Freeway & Expressway,-22.37087359,2112522,23
billerica,Arterial,3.563909432,-36403,-20
billerica,Collector,2.129675015,-5025,NA
blackstone,Arterial,-1.981053213,21349,-13
blandford,Interstate,0.01022891804,-2790749,-3
boston,Arterial,2.410546106,-533791,-7
boston,Freeway & Expressway,4.468365538,-11089344,8
boston,Interstate,6.867029886,-24625380,-327
bourne,Arterial,8.428543945,32057,-22
bourne,Freeway & Expressway,10.46526321,6114772,2
boylston,Arterial,-0.4894267724,31077,-5
bridgewater,Arterial,-1.449288091,-6323,-21
brockton,Arterial,-1.807805799,-2286594,-7
brockton,Collector,8.877341665,577,5
brockton,Freeway & Expressway,-12.84404583,-7438318,NA
brockton,Local Road,2.793246757,10276,21
brookfield,Collector,-2.640799747,3810,NA
buckland,Collector,4.426277039,11036,NA
burlington,Interstate,2.363671527,28649065,NA
carver,Arterial,13.28629398,102987,NA
charlton,Interstate,1.259998325,-9031320,NA
chelmsford,Arterial,1.832856479,-106930,1
chester,Arterial,1.753257085,3740,NA
chicopee,Arterial,-3.350096642,74262,29
clarksburg,Arterial,0.544179286,-2634,NA
clarksburg,Collector,2.321193985,182824,NA
colrain,Arterial,4.188936269,-6532,NA
concord,Arterial,20.72271898,-5442295,NA
dalton,Arterial,4.728686869,15814,NA
dartmouth,Arterial,-2.701584895,-25099,-14
dartmouth,Collector,1.988707222,-7535,5
dedham,Arterial,0.2605373975,52081,-7
dennis,Arterial,2.30610621,-3407,-11
dighton,Arterial,9.365814575,20662,1
dracut,Arterial,1.257299305,98607,-6
dunstable,Arterial,-8.165024216,-5215,NA
duxbury,Arterial,9.150990649,-57297,0
east bridgewater,Arterial,-2.971177849,83484,-17
east longmeadow,Collector,-8.262892789,11381,NA
easthampton,Arterial,-2.715432395,36573,-13
easthampton,Collector,-0.8969776805,10006,NA
easton,Arterial,0.3662437277,-35933,25
easton,Collector,2.069331684,-2722,6
edgartown,Arterial,-0.7575247172,5742888,NA
erving,Arterial,13.41512601,50714,-1
erving,Collector,-7.401540832,-1122,NA
fairhaven,Arterial,-1.172867932,3372,-8
fairhaven,Collector,7.400040168,-20302,NA
fall river,Arterial,8.12641518,258379,-62
fall river,Collector,3.297102521,44512,-14
falmouth,Arterial,-2.5031963,-56682,-11
falmouth,Collector,-3.082328246,1338,NA
fitchburg,Arterial,9.876315219,-4715,-184
florida,Arterial,-9.575033239,-4828,NA
foxborough,Interstate,33.85007354,28399401,-31
framingham,Collector,-2.905485145,13095,-6
framingham,Interstate,3.714907991,-12103259,NA
franklin,Arterial,2.966971336,-34308,-14
freetown,Arterial,-9.239489356,23355,3
freetown,Collector,0.2035649902,-6832,NA
georgetown,Interstate,1.521247925,13413376,NA
greenfield,Arterial,-3.809699491,-32818,-8
greenfield,Collector,4.669636345,-83175,NA
greenfield,Freeway & Expressway,5.809399577,-1914,0
groton,Arterial,-1.806436214,31890,-2
hadley,Arterial,1.111280613,7001,-33
hancock,Collector,2.367422805,878737,NA
hanover,Arterial,-1.999638046,-186723,NA
hanson,Arterial,-0.9977279343,-20539,2
hardwick,Arterial,2.208787561,1279,0
hatfield,Interstate,1.790228487,-4174432,NA
haverhill,Arterial,3.796970988,1775962,-80
haverhill,Local Road,4.508906497,-1489,-4
hawley,Collector,-3.219613116,-4101,0
hingham,Arterial,1.94051735,-70692,-12
holden,Arterial,9.400660816,-58390,-43
holliston,Arterial,1.825497783,47782,-7
holyoke,Arterial,-2.126680372,97577,-44
holyoke,Collector,0.124838771,6348,-2
hopedale,Arterial,2.478211524,25,1
hopkinton,Arterial,0.1970765516,-42815,-7
hopkinton,Interstate,24.69400742,-9831287,-3
hubbardston,Arterial,-3.947983892,-5703,8
hudson,Arterial,9.104238381,-21759,8
huntington,Arterial,-5.170012694,21400,NA
kingston,Arterial,-4.795630544,-8441,-16
lakeville,Arterial,-1.602486908,-49651,-9
lanesborough,Arterial,-1.140888746,84315,-4
lee,Arterial,11.1269264,1174921,NA
lee,Interstate,0.2995903894,292391,NA
lenox,Arterial,0.5281638857,6051527,2
leominster,Arterial,9.51378,63242,-54
leyden,Collector,3.90987131,-4846,NA
