Site_ID,County,Community,Rural_Urban,Dir,Functional_Class,Avg_Speed,Total_Volume,Crashes,Nonfatal_Injuries,Fatal_Injuries
1,berkshire,pittsfield,U,2-WAY,Arterial,45.00390485,5414470,NA,NA,NA
10,norfolk,foxborough,U,2-WAY,Interstate,70.66905586,21321893,73,0,0
1001,berkshire,williamstown,U,2-WAY,Arterial,35.44149281,7717,NA,NA,NA
1004,berkshire,williamstown,U,2-WAY,Collector,21.64539391,5547,NA,NA,NA
1007,berkshire,williamstown,U,2-WAY,Arterial,35.65915324,11657,NA,NA,NA
1009,berkshire,clarksburg,R,2-WAY,Arterial,29.90103163,8676,NA,NA,NA
1011,berkshire,florida,R,2-WAY,Arterial,35.09908815,3290,NA,NA,NA
1016,berkshire,north adams,U,2-WAY,Arterial,34.36381977,6795,NA,NA,NA
1017,berkshire,hancock,R,2-WAY,Arterial,46.32463256,10478,NA,NA,NA
1019,berkshire,lanesborough,R,2-WAY,Arterial,48.98783248,10602,NA,NA,NA
1056,berkshire,adams,U,2-WAY,Collector,36.7113594,4833,NA,NA,NA
1058,berkshire,adams,U,2-WAY,Collector,25.02904846,7366,1,0,0
1060,berkshire,adams,U,2-WAY,Collector,26.92461288,2453,NA,NA,NA
1066,berkshire,lenox,U,2-WAY,Arterial,35.48750806,20173,NA,NA,NA
1067,berkshire,lenox,U,2-WAY,Arterial,44.60573511,15501,NA,NA,NA
1072,berkshire,windsor,R,2-WAY,Arterial,54.17968809,13134,NA,NA,NA
1083,berkshire,stockbridge,R,2-WAY,Arterial,38.8828854,12539,NA,NA,NA
1085,berkshire,stockbridge,R,2-WAY,Arterial,46.68086343,22376,NA,NA,NA
1096,berkshire,lee,R,2-WAY,Arterial,47.02789356,9357,NA,NA,NA
1110,berkshire,monterey,R,2-WAY,Collector,18.80208481,7053,NA,NA,NA
1114,berkshire,becket,R,2-WAY,Local Road,41.32548717,5183,NA,NA,NA
1115,berkshire,becket,R,2-WAY,Arterial,55.45951081,4211,NA,NA,NA
1124,berkshire,new marlborough,R,2-WAY,Collector,31.17777778,2475,NA,NA,NA
1132,hampden,chester,R,2-WAY,Arterial,31.8462093,8323,NA,NA,NA
1136,hampshire,worthington,R,2-WAY,Collector,40.90528634,1362,1,0,0
1142,berkshire,north adams,U,2-WAY,Collector,19.72157391,6687,2,0,0
1143,berkshire,north adams,U,2-WAY,Collector,24.48490117,10910,2,0,0
1166,berkshire,lanesborough,U,2-WAY,Arterial,31.67483566,8671,NA,NA,NA
1171,berkshire,sheffield,R,2-WAY,Arterial,54.12812269,1976301,NA,NA,NA
1178,berkshire,lanesborough,R,2-WAY,Arterial,53.64538555,1652666,NA,NA,NA
1179,berkshire,lenox,U,2-WAY,Arterial,54.88549811,3699867,NA,NA,NA
1180,hampden,russell,U,2-WAY,Arterial,52.7373793,1299667,NA,NA,NA
1181,berkshire,sandisfield,R,2-WAY,Arterial,55.21748824,937384,NA,NA,NA
1182,berkshire,windsor,R,2-WAY,Arterial,55.8740028,1009423,NA,NA,NA
1183,berkshire,sheffield,R,2-WAY,Arterial,52.4377821,2622252,NA,NA,NA
12,essex,haverhill,U,2-WAY,Arterial,42.53687452,1761104,NA,NA,NA
125,berkshire,savoy,R,2-WAY,Collector,46.52362152,471117,NA,NA,NA
13,norfolk,milton,U,2-WAY,Arterial,37.61654604,28049,4,0,0
130,hampshire,huntington,R,2-WAY,Arterial,41.57937371,1065252,NA,NA,NA
14,middlesex,burlington,U,2-WAY,Interstate,61.58251118,49527478,NA,NA,NA
140,berkshire,clarksburg,R,2-WAY,Collector,44.49007079,825393,NA,NA,NA
162,berkshire,adams,U,2-WAY,Arterial,48.77235549,5093067,NA,NA,NA
17,worcester,sturbridge,R,2-WAY,Interstate,63.02028871,12361631,NA,NA,NA
18,essex,georgetown,U,2-WAY,Interstate,73.94468006,19545104,NA,NA,NA
1950,berkshire,hancock,R,2-WAY,Collector,54.60291054,1033072,NA,NA,NA
2,berkshire,lee,U,2-WAY,Arterial,36.2356805,2033206,NA,NA,NA
20,plymouth,plymouth,U,2-WAY,Freeway & Expressway,64.63839856,12147217,NA,NA,NA
2001,franklin,charlemont,R,2-WAY,Arterial,35.07955801,8145,NA,NA,NA
2002,franklin,charlemont,R,2-WAY,Arterial,40.2588577,5165,NA,NA,NA
2011,franklin,colrain,R,2-WAY,Arterial,49.40195556,28180,NA,NA,NA
2012,franklin,gill,U,2-WAY,Arterial,51.87886258,2044569,NA,NA,NA
2015,franklin,northfield,R,2-WAY,Arterial,41.79429146,7953,NA,NA,NA
2019,franklin,hawley,R,2-WAY,Collector,33.63349515,2060,NA,NA,NA
2023,franklin,shelburne,R,2-WAY,Arterial,46.08924943,17227,NA,NA,NA
2025,franklin,greenfield,U,2-WAY,Arterial,34.84998246,22808,NA,NA,NA
2026,franklin,greenfield,U,2-WAY,Arterial,18.94741726,16167,2,0,0
2027,franklin,greenfield,U,2-WAY,Collector,34.04343765,6423,NA,NA,NA
2028,franklin,greenfield,U,2-WAY,Arterial,33.21547518,12912,NA,NA,NA
2030,franklin,greenfield,U,2-WAY,Arterial,33.76653261,28599,NA,NA,NA
2031,franklin,greenfield,U,2-WAY,Arterial,33.90491621,10801,NA,NA,NA
2032,franklin,whately,R,2-WAY,Interstate,46.66561668,73969,1,0,0
2033,franklin,greenfield,U,2-WAY,Collector,29.07857079,11111,4,0,0
2036,franklin,greenfield,U,2-WAY,Freeway & Expressway,68.3335984,19492,NA,NA,NA
2038,franklin,deerfield,R,2-WAY,Collector,44.62574019,5404,NA,NA,NA
2052,franklin,montague,R,2-WAY,Collector,25.56689246,2362,NA,NA,NA
2053,franklin,montague,U,2-WAY,Arterial,32.50383097,12921,NA,NA,NA
2054,franklin,montague,U,2-WAY,Arterial,42.70400115,6989,NA,NA,NA
2055,franklin,montague,U,2-WAY,Arterial,28.84411183,42496,NA,NA,NA
2058,franklin,erving,R,2-WAY,Arterial,40.96181654,17704,2,0,0
2060,franklin,erving,R,2-WAY,Arterial,49.78883146,18837,NA,NA,NA
2065,franklin,wendell,R,2-WAY,Collector,32.54166005,6270,NA,NA,NA
2077,hampshire,westhampton,R,2-WAY,Collector,24.04784689,1045,NA,NA,NA
2086,hampshire,northampton,U,2-WAY,Arterial,29.72581277,12765,NA,NA,NA
2087,hampshire,northampton,U,2-WAY,Arterial,23.83743764,31485,NA,NA,NA
2093,hampshire,northampton,U,2-WAY,Local Road,29.19470986,12872,NA,NA,NA
2096,hampshire,northampton,U,2-WAY,Arterial,15.44051071,42764,3,0,0
2100,hampshire,amherst,R,2-WAY,Collector,40.2750416,6010,NA,NA,NA
2102,hampshire,hadley,U,2-WAY,Arterial,38.38691634,28790,NA,NA,NA
