Eruption ID,Geyser,Date,Time,Waiting,Webcam,Duration
1473854,Old Faithful,8/19/24,538,180,Yes,235
1473352,Old Faithful,8/15/24,1541,184,Yes,259
1473337,Old Faithful,8/15/24,1425,116,Yes,137
1473334,Old Faithful,8/15/24,1237,188,Yes,222
1473331,Old Faithful,8/15/24,1131,106,Yes,105
1473328,Old Faithful,8/15/24,944,187,Yes,180
1473207,Old Faithful,8/14/24,1231,182,Yes,244
1473201,Old Faithful,8/14/24,1041,190,Yes,278
1473137,Old Faithful,8/13/24,1810,138,Yes,249
1473108,Old Faithful,8/13/24,1624,186,Yes,262
1473097,Old Faithful,8/13/24,1443,181,Yes,240
1472976,Old Faithful,8/12/24,1424,184,Yes,249
1472646,Old Faithful,8/10/24,1335,183,Yes,294
1472635,Old Faithful,8/10/24,1227,108,Yes,109
1472620,Old Faithful,8/10/24,1048,179,Yes,277
1472552,Old Faithful,8/9/24,1857,159,Yes,119
1472473,Old Faithful,8/9/24,1541,179,Yes,259
1472354,Old Faithful,8/8/24,1558,181,Yes,232
1472350,Old Faithful,8/8/24,1417,141,Yes,192
1472345,Old Faithful,8/8/24,1246,171,Yes,245
1472331,Old Faithful,8/8/24,1105,141,Yes,219
1472094,Old Faithful,8/5/24,1940,106,No,120
1472065,Old Faithful,8/5/24,1335,176,No,300
1471723,Old Faithful,8/2/24,1538,182,No,241
1471619,Old Faithful,8/1/24,1455,150,Yes,167
1471605,Old Faithful,8/1/24,1311,144,Yes,280
1471592,Old Faithful,8/1/24,1205,106,Yes,114
1471579,Old Faithful,8/1/24,1019,186,Yes,221
1471447,Old Faithful,7/30/24,1731,177,Yes,263
1471441,Old Faithful,7/30/24,1356,187,Yes,239
1470995,Old Faithful,7/27/24,1150,183,Yes,277
1470893,Old Faithful,7/26/24,1641,190,Yes,290
1470879,Old Faithful,7/26/24,1532,109,Yes,125
1470875,Old Faithful,7/26/24,1358,174,Yes,267
1470740,Old Faithful,7/25/24,1443,183,Yes,241
1470724,Old Faithful,7/25/24,1135,173,Yes,215
1470601,Old Faithful,7/24/24,1913,115,Yes,150
1470544,Old Faithful,7/24/24,1407,141,Yes,265
1470445,Old Faithful,7/23/24,1830,188,Yes,234
1470439,Old Faithful,7/23/24,1653,177,Yes,241
1470419,Old Faithful,7/23/24,1334,175,Yes,238
