year,age_in_2011
1986,25
1996,15
1994,17
2008,3
1999,12
2010,1
1964,47
1975,36
1995,16
1966,45
1997,14
2005,6
1999,12
1960,51
1974,37
1989,22
1967,44
1989,22
1981,30
1986,25
1987,24
1996,15
2000,11
1974,37
2008,3
1972,39
1998,13
1998,13
1999,12
2000,11
1969,42
2005,6
2000,11
2001,10
1984,27
1964,47
1999,12
1972,39
1971,40
1979,32
2002,9
1973,38
1993,18
1978,33
1977,34
1978,33
1980,31
1997,14
1977,34
1983,28
1975,36
2010,1
1998,13
1986,25
1990,21
1993,18
1979,32
1994,17
1996,15
1986,25
1984,27
1981,30
1975,36
1982,29
1978,33
1979,32
1983,28
1996,15
2003,8
1992,19
1980,31
1971,40
1981,30
1964,47
2008,3
1986,25
1978,33
2004,7
1994,17
2002,9
1986,25
2007,4
1987,24
1967,44
1999,12
1985,26
1993,18
2005,6
1994,17
1981,30
1984,27
1961,50
1979,32
1984,27
1978,33
1997,14
2009,2
1983,28
1988,23
1974,37
2000,11
1984,27
1988,23
1992,19
1982,29
1998,13
1987,24
1961,50
1982,29
1993,18
1978,33
1989,22
2000,11
2010,1
2004,7
2005,6
1998,13
1983,28
2010,1
1996,15
1998,13
1999,12
1998,13
1973,38
1990,21
2005,6
2000,11
1996,15
1974,37
1974,37
1985,26
1985,26
1982,29
1985,26
2011,0
1996,15
1993,18
1989,22
1998,13
1964,47
2002,9
1970,41
1960,51
1984,27
1983,28
1994,17
1995,16
1991,20
1992,19
2002,9
1978,33
1967,44
1985,26
1989,22
1983,28
2000,11
1966,45
1992,19
2004,7
2003,8
2006,5
1999,12
1983,28
2002,9
1992,19
1991,20
1981,30
1998,13
1999,12
2005,6
2008,3
1999,12
1982,29
1986,25
2000,11
2000,11
1997,14
1994,17
1981,30
1959,52
1995,16
1978,33
1968,43
1991,20
1981,30
1981,30
2008,3
1994,17
1992,19
1987,24
1969,42
2010,1
1983,28
1988,23
2002,9
1988,23
2009,2
2009,2
1966,45
1990,21
1978,33
1996,15
1987,24
1975,36
1978,33
1995,16
2002,9
1963,48
1984,27
1991,20
1993,18
2000,11
2001,10
2001,10
1993,18
1997,14
2008,3
2000,11
1996,15
2000,11
2007,4
1979,32
1987,24
2000,11
2005,6
1986,25
1968,43
2004,7
1974,37
1983,28
1996,15
1992,19
1974,37
1978,33
1992,19
2003,8
2005,6
1983,28
1997,14
2006,5
1992,19
1986,25
1994,17
1984,27
