Price,Living.Area,Bathrooms,Bedrooms,Fireplaces,Lot.Size,Age,Fireplace
142212,1982,1,3,0,2,133,FALSE
134865,1676,1.5,3,1,0.38,14,TRUE
118007,1694,2,3,1,0.96,15,TRUE
138297,1800,1,2,2,0.48,49,TRUE
129470,2088,1,3,1,1.84,29,TRUE
206512,1456,2,3,0,0.98,10,FALSE
50709,960,1.5,2,0,NA,12,FALSE
108794,1464,1,2,0,0.11,87,FALSE
68353,1216,1,2,0,0.61,101,FALSE
123266,1632,1.5,3,0,0.23,14,FALSE
309808,2270,2.5,3,2,4.05,9,TRUE
157946,1804,2.5,3,1,0.43,0,TRUE
80248,1600,1.5,3,0,0.36,16,FALSE
135708,1460,2,2,0,0.18,17,FALSE
173723,1548,2,3,1,0.36,0,TRUE
140510,1590,2.5,3,1,0.42,0,TRUE
122221,1170,1.5,4,0,3,26,FALSE
151917,1510,2.5,3,1,0.39,0,TRUE
235105,2299,2.5,4,1,0.8,6,TRUE
259999,2577,2.5,4,1,0.77,1,TRUE
211517,2328,2.5,4,1,0.85,10,TRUE
102068,1172,2.5,3,1,0.85,73,TRUE
128440,1554,1.5,3,0,4.87,103,FALSE
115659,1242,2,3,1,0.72,30,TRUE
145583,1376,2,3,1,0.46,25,TRUE
116289,1107,1,3,1,0.46,43,TRUE
238792,2250,2.5,4,1,2.48,10,TRUE
221925,2472,2,4,0,0.62,183,FALSE
310696,2843,2.5,4,1,0.71,5,TRUE
139079,1400,1.5,3,1,1,35,TRUE
109578,1342,1,2,1,0.57,41,TRUE
65325,813,1,2,0,0.39,68,FALSE
89893,1480,2.5,2,1,0.29,14,TRUE
87588,1392,1,2,0,0.24,17,FALSE
132311,1512,1.5,3,1,0.25,13,TRUE
131411,1512,1.5,3,1,0.05,13,TRUE
158863,1696,2.5,3,1,0.71,5,TRUE
130490,1595,2,3,1,0.22,6,TRUE
88207,1480,1.5,3,0,0.07,14,FALSE
178767,2291,2.5,4,1,0.1,0,TRUE
148246,1391,2,3,0,0.04,12,FALSE
205073,2501,2.5,4,0,0.07,0,FALSE
185323,1662,2,3,0,0.5,0,FALSE
71904,957,1,3,0,0.19,45,FALSE
82556,1480,1.5,3,1,0.1,14,TRUE
199684,2275,2.5,4,0,2.17,0,FALSE
122221,1440,1,3,1,2.12,32,TRUE
81762,1008,1,3,0,0.33,41,FALSE
84291,1480,2.5,2,1,0.07,14,TRUE
206512,2116,2.5,3,1,2.17,0,TRUE
105363,1100,1,3,1,0.2,93,TRUE
45004,960,1,2,0,0.54,11,FALSE
62105,1228,1,2,0,0.31,53,FALSE
103508,1560,1.5,3,1,0.88,16,TRUE
157513,2164,2,3,1,0.69,183,TRUE
